Row.names	de00	de02	de04	de08	de24	old	new	prot	geneid	arcog	cog	gene_name
lcl|NC_013967.1_cds_WP_004042587.1_3521	1.59124044202243	7.31188871675996	5.30893003077658	5.40875877254966	5.06866633689117	HVO_2550	HVO_RS17010	30S ribosomal protein S14	rps14	arCOG00782	COG0199J	RpsN
lcl|NC_013967.1_cds_WP_004042567.1_3516	0.640254833800304	6.67062604351602	5.12703104386604	4.29088153205871	3.61570229340426	HVO_2545	HVO_RS16985	50S ribosomal protein L18	rpl18	arCOG04088	COG0256J	RplR
lcl|NC_013967.1_cds_WP_004044017.1_1954	4.80096945966296	6.61321980373727	6.76240075648232	5.02014345375267	6.00028936578271	HVO_0925	HVO_RS09125	hypothetical protein		arCOG14738	-	NA
lcl|NC_013964.1_cds_373	6.58997354435013	6.56743872333636	6.72043734309263	NA	7.39393498178731	HVO_RS19695	HVO_RS19695	molecular chaperone GroEL		NA	NA	NA
lcl|NC_013966.1_cds_465	NA	6.56743872333636	6.72043734309263	NA	NA	HVO_A0004	HVO_RS19715	peptide-methionine (S)-S-oxide reductase		NA	NA	NA
lcl|NC_013964.1_cds_WP_004041323.1_299	6.35384544821127	6.35787325575725	6.1710317476947	6.52707839505338	6.3246890401481	HVO_B0212	HVO_RS01045	hypothetical protein		-	-	-
lcl|NC_013967.1_cds_WP_004042565.1_3515	-0.673388797797306	6.20037056687392	4.44258007816139	4.02809730515263	2.61925852344016	HVO_2544	HVO_RS16980	30S ribosomal protein S5	rps5	arCOG04087	COG0098J	RpsE
lcl|NC_013967.1_cds_WP_004042593.1_3524	0.455268981234525	6.15431252059808	4.08504618695006	4.09264160572506	3.32949176517093	HVO_2553	HVO_RS17025	50S ribosomal protein L24	rpl24	arCOG04094	COG0198J	RplX
lcl|NC_013967.1_cds_WP_004042614.1_3533	1.24803659291536	5.94073479183363	4.00815155966021	3.98659613737476	3.15164749157729	HVO_2562	HVO_RS17070	50S ribosomal protein L23	rpl23	arCOG04072	COG0089J	RplW
lcl|NC_013968.1_cds_WP_013035711.1_79	4.3107623779628	5.83035197529102	5.25542994486203	NA	4.98847879141874	HVO_C0086	HVO_RS19620	hypothetical protein		-	-	-
lcl|NC_013967.1_cds_WP_081442882.1_1353	5.79570419009487	5.74250830990373	5.73965142070492	5.40976361566732	4.16421285654913	HVO_0280A	HVO_RS20110	hypothetical protein		arCOG06428	-	-
lcl|NC_013967.1_cds_WP_004044086.1_1883	3.84934181754252	5.67819018318004	5.70696138878615	4.86801793879715	3.6216043903475	HVO_0852	HVO_RS08775	ArsR family transcriptional regulator		arCOG00394	-	ArsR
lcl|NC_013967.1_cds_WP_004042773.1_3615	3.77431128577147	5.67567602726107	6.17733021036628	NA	NA	HVO_2649	HVO_RS17490	hypothetical protein		arCOG13625	-	NA
lcl|NC_013966.1_cds_WP_013035044.1_849	4.2939819965632	5.47708827119956	6.44976348151883	5.8880996475114	6.67323517541727	HVO_A0399	HVO_RS03635	hypothetical protein		arCOG08905	-	-
lcl|NC_013967.1_cds_WP_004042571.1_3517	0.0686746373509176	5.44922015495018	4.00330521067215	3.53297278910236	2.93055539728586	HVO_2546	HVO_RS16990	50S ribosomal protein L19e	rpl19e	arCOG04089	COG2147J	RPL19A
lcl|NC_013967.1_cds_WP_004041861.1_2958	0.788023936921677	5.3509821657408	4.44707558087651	3.48582541328313	2.59052895524636	HVO_1981	HVO_RS14205	hypothetical protein		arCOG00313	-	-
lcl|NC_013967.1_cds_WP_004042589.1_3522	0.16278167015413	5.26887034702533	3.59136407731149	3.19625390138606	2.80541950726933	HVO_2551	HVO_RS17015	50S ribosomal protein L5	rpl5	arCOG04092	COG0094J	RplE
lcl|NC_013967.1_cds_WP_013035418.1_3518	0.564958549970613	5.24070219806522	3.71352251010233	3.43953547137844	2.39351275757617	HVO_2547	HVO_RS16995	50S ribosomal protein L32e	rpl32e	arCOG00781	COG1717J	RPL32
lcl|NC_013967.1_cds_WP_004042581.1_3520	-0.1290516062022	5.21379729369951	3.42157660395605	3.40806811237788	2.7176906447488	HVO_2549	HVO_RS17005	30S ribosomal protein S8	rps8	arCOG04091	COG0096J	RpsH
lcl|NC_013964.1_cds_WP_013034952.1_364	3.13631122086538	5.19462148113745	4.46837537967332	2.85143578476227	NA	HVO_B0281	HVO_RS19690	hypothetical protein		-	-	NA
