locus_tag	wp	old_locus_tag.x	protein	PIR_SUPERFAMILY	SMART
HVO_RS00705	WP_004041011.1	HVO_B0145	creatininase		
HVO_RS00635	WP_004041025.1	HVO_B0131	hypothetical protein		
HVO_RS00570	WP_004041038.1	HVO_B0118	SMC-like protein Sph2		
HVO_RS00350	WP_004041082.1	HVO_B0073	transcriptional regulator		SM00344:HTH_ASNC
HVO_RS00090	WP_004041134.1	HVO_B0020	bacterio-opsin activator		
HVO_RS01720	WP_004041182.1	HVO_B0356	hypothetical protein		
HVO_RS01710	WP_004041187.1	HVO_B0354	hypothetical protein		
HVO_RS01330	WP_004041265.1	HVO_B0273	histidine kinase		SM00387:HATPase_c,SM00388:HisKA
HVO_RS00950	WP_004041341.1	HVO_B0193	transcriptional regulator		
HVO_RS00945	WP_004041342.1	HVO_B0192	hypothetical protein		
HVO_RS00895	WP_004041353.1	HVO_B0182	deoxyhypusine synthase		
HVO_RS00770	WP_004041380.1	NA	hypothetical protein		
HVO_RS00755	WP_004041383.1	NA	response regulator		SM00448:REC
HVO_RS19935	WP_NA	HVO_A0353	ISH3 family transposase	NA	NA
HVO_RS03435	WP_NA	HVO_A0354	ISH3 family transposase		
HVO_RS04090	WP_004040855.1	HVO_A0503	amidohydrolase		
HVO_RS04280	WP_004040894.1	HVO_A0545	TetR family transcriptional regulator		
HVO_RS04545	WP_004040958.1	HVO_A0601	nitrous oxide reductase accessory protein NosL		
HVO_RS04675	WP_004040984.1	HVO_A0631	hypothetical protein		
HVO_RS02480	WP_004043070.1	HVO_A0140	phosphohydrolase		SM00471:HDc
HVO_RS02940	WP_004043162.1	HVO_A0245	hypothetical protein		
HVO_RS03305	WP_004043238.1	HVO_A0324	hypothetical protein		
HVO_RS01920	WP_004043309.1	HVO_A0012	hypothetical protein		
HVO_RS02130	WP_004043378.1	HVO_A0057	IS5 family transposase ISHvo2		
HVO_RS19745	WP_004043400.1	HVO_A0038	hypothetical protein	NA	NA
HVO_RS02045	WP_004043401.1	HVO_A0037	hypothetical protein		
HVO_RS02040	WP_004043402.1	HVO_A0036	transcriptional regulator		
HVO_RS01975	WP_004043414.1	HVO_A0024	hypothetical protein		
HVO_RS01970	WP_004043415.1	HVO_A0023	hypothetical protein		
HVO_RS01960	WP_004043417.1	HVO_A0021	hypothetical protein		
HVO_RS01955	WP_004043418.1	HVO_A0020	hypothetical protein		
HVO_RS03500	WP_013035021.1	HVO_A0369	CopG family transcriptional regulator		
HVO_RS02535	WP_013035042.1	HVO_A0151	IS4 family transposase		
HVO_RS03835	WP_013035066.1	HVO_A0449	IS4 family transposase		
HVO_RS03085	WP_013035094.1	HVO_A0279A	DNA-directed RNA polymerase subunit M		SM00661:RPOL9
HVO_RS03550	WP_013035096.1	HVO_A0381	peptide ABC transporter		
HVO_RS02965	WP_013035110.1	HVO_A0251	MarR family transcriptional regulator		
HVO_RS19945	WP_013035136.1	HVO_A0365	hypothetical protein	NA	NA
HVO_RS02380	WP_013035157.1	HVO_A0110	IS4 family transposase		
HVO_RS03005	WP_013035158.1	HVO_A0262	IS4 family transposase		
HVO_RS20080	WP_013035161.1	NA	hypothetical protein	NA	NA
HVO_RS02165	WP_013035182.1	HVO_A0064	cell division control protein Cdc6		
HVO_RS03490	WP_013035191.1	HVO_A0367	IS4 family transposase		
HVO_RS02455	WP_013035207.1	HVO_A0133	Tat (twin-arginine translocation) pathway signal sequence domain protein		
HVO_RS03695	WP_013035218.1	HVO_A0415	cyclase		
HVO_RS19720	WP_081442864.1	NA	hypothetical protein	NA	NA
HVO_RS19805	WP_081442867.1	NA	hypothetical protein	NA	NA
HVO_RS20145	WP_004041399.1	HVO_1522	methyltransferase	NA	NA
HVO_RS20160	WP_004041402.1	HVO_1524	agl cluster protein AglR	NA	NA
HVO_RS20165	WP_004041404.1	HVO_1526	hypothetical protein	NA	NA
HVO_RS12285	WP_004041458.1	HVO_1578	NADH dehydrogenase		
HVO_RS12345	WP_004041481.1	HVO_1590	molecular chaperone DnaK		
HVO_RS12475	WP_004041509.1	HVO_1619	hypothetical protein		
HVO_RS12560	WP_004041527.1	HVO_1637	peptidylprolyl isomerase		
