	t04_mean	t24_mean	theta	prob	log2FC	length
HVO_RS00390	3.06655497730758	3.85891139431134	-0.173061873351486	0.394935356167033	-0.331575102182102	1031
HVO_RS01805	32.0939173932468	127.961655773631	-1.05861591231658	0.945135560119608	-1.99533976432227	737
HVO_RS01800	1913.22820156075	1919.44469165191	-0.00572003422156493	0.0382468007302691	-0.00468002751129662	194
HVO_RS01295	30.1622253491748	39.6311866203539	-0.188821986725856	0.430730903892143	-0.393893290896055	1307
HVO_RS01105	4.6079545243082	28.8609372751415	-0.770992998285945	0.962342237228412	-2.64691976884939	410
HVO_RS00980	29.8748654761717	33.792363404761	-0.0787827432125398	0.177215081909264	-0.177765037924639	422
HVO_RS19735	1172.80930879495	388.717004217338	1.84962204587497	0.999999999888848	1.59317633546287	253
HVO_RS19870	4.23136583260103	27.9323797434621	-0.749764048444033	0.959063592278459	-2.72274316378626	455
HVO_RS19970	12.6857522218885	24.608312424553	-0.401662169762533	0.793297203246824	-0.955936655994372	1000
HVO_RS20040	13.1392629614022	64.679202097233	-0.618283868279335	0.943242702988798	-2.29941753051699	518
HVO_RS03945	383.90399730409	312.065210941993	0.282493549709515	0.330463864375144	0.29889804751608	584
HVO_RS03970	34.5056780381358	31.0789933306624	0.0790641217888048	0.0066152411679502	0.150894007633198	1190
HVO_RS04250	5.16348140323438	11.0065776439769	-0.350724947510521	0.735153219052123	-1.09194993560873	1217
HVO_RS04680	51.4399228925773	27.1227782586789	0.451528948274844	0.645380613962764	0.923383514943289	431
HVO_RS02705	4.44293899313042	13.7443757865591	-0.458276117507439	0.844615768685011	-1.62925515035223	437
HVO_RS02765	142.534357462448	81.2882441220847	0.47877932476926	0.685025409672605	0.810191087900729	1022
HVO_RS03020	22.6457108879878	38.8199340862312	-0.425051213507068	0.815884315413749	-0.777559839660978	767
HVO_RS03045	1.8873896999557	5.50540457184646	-0.673308771096037	0.952666990272527	-1.54445625096877	1436
HVO_RS03505	64.3184206435813	115.424609624455	-0.395604380646218	0.787054499281036	-0.84364696678905	494
HVO_RS03525	5.73276188867474	6.89823311165791	-0.123689214582393	0.282039184853496	-0.266996524870674	1103
HVO_RS02300	79.2793163368922	32.2584133583918	0.62043015750931	0.852589618706559	1.29726904076858	740
HVO_RS02080	68.9883007462299	83.2605630805099	-0.154495905356133	0.352758688402042	-0.271281589417594	572
HVO_RS02060	42.5980134980093	63.4540797222519	-0.298902204146339	0.659666588031436	-0.574926769966162	1040
HVO_RS02050	14.4975939484516	19.572713125797	-0.188524062549558	0.430053714661918	-0.43303026562556	980
HVO_RS02405	345.10620996383	1744.39820024944	-2.34541407598498	0.998539240372754	-2.33761706757192	284
HVO_RS03700	800.707155291072	2080.82867724561	-1.42922694816099	0.933607318110298	-1.37781158363991	284
HVO_RS02975	24.0114874729612	20.3781551412314	0.109569419880916	0.0318113113336852	0.236701330462838	1385
HVO_RS02980	629.004436617881	299.593189871527	0.782705443651395	0.935625038361311	1.07006536313704	323
