	shaking_mean	t02_mean	theta	prob	log2FC	length	P	locus_tag
HVO_RS00390	304.985059702806	468.578128179859	-0.107938386124466	0.155687544093881	-0.619551043967174	1031	0.844312455906119	HVO_RS00390
HVO_RS01805	1901.25382823379	1081.98853033042	0.238254510915773	0.255956139820601	0.813265946973974	737	0.744043860179399	HVO_RS01805
HVO_RS01800	6096.65701591055	8757.1361333555	-0.211673313576265	0.395175632883685	-0.522440753507381	194	0.604824367116315	HVO_RS01800
HVO_RS01295	406.386042278891	493.413692521466	-0.059833434674572	0.0604212790720247	-0.279946899626788	1307	0.939578720927975	HVO_RS01295
HVO_RS01105	109.828888081881	1308.94085478834	-0.650632743654591	0.7468818755631	-3.57507043110698	410	0.2531181244369	HVO_RS01105
HVO_RS00980	3011.29087783033	1283.57140948553	0.320534851588865	0.37208065791923	1.23021851274381	422	0.62791934208077	HVO_RS00980
HVO_RS03945	3218.28121818044	1675.70477402877	0.379721375389678	0.412119040964546	0.941522399248728	584	0.587880959035454	HVO_RS03945
HVO_RS03970	877.377979477147	420.68861643484	0.220224818739974	0.22336181739534	1.06044571767399	1190	0.77663818260466	HVO_RS03970
HVO_RS04250	613.234412016755	386.013569140631	0.124781083078084	0.0692617822545115	0.667787094996017	1217	0.930738217745488	HVO_RS04250
HVO_RS04680	43.7942556453729	1175.91044147292	-0.848721357390907	0.807722435854656	-4.74689272855154	431	0.192277564145344	HVO_RS04680
HVO_RS02705	43.1929615175188	971.118588263705	-0.763337159281947	0.785956476918028	-4.49077933811043	437	0.214043523081972	HVO_RS02705
HVO_RS02765	481.039706815978	693.344419176463	-0.141182863504177	0.236165365978492	-0.527416205529834	1022	0.763834634021508	HVO_RS02765
HVO_RS03020	844.622442015027	631.616964127678	0.0929772728901779	0.0353987475498659	0.419256660747717	767	0.964601252450134	HVO_RS03020
HVO_RS03045	360.099993601745	306.057179565131	0.0403061559951053	0.00284993443823545	0.234596362255326	1436	0.997150065561765	HVO_RS03045
HVO_RS03505	258.131935631184	1173.52695711041	-0.454238638132624	0.603466413452323	-2.18467043712602	494	0.396533586547677	HVO_RS03505
HVO_RS03525	784.671195005884	408.021818586014	0.178403434310821	0.148331127198258	0.943441939332271	1103	0.851668872801742	HVO_RS03525
HVO_RS02300	860.486539471367	651.102783330427	0.09041858716731	0.0331132055952452	0.402267318717085	740	0.966886794404755	HVO_RS02300
HVO_RS02080	449.796910453909	1003.78667383957	-0.253199670538431	0.463790461283802	-1.1581070415386	572	0.536209538716198	HVO_RS02080
HVO_RS02060	132.285198984877	553.155258266886	-0.379580951937474	0.568370972927869	-2.06403281782228	1040	0.431629027072131	HVO_RS02060
HVO_RS02050	66.478271018884	445.189078921868	-0.442259577981101	0.596985428596795	-2.74346343610545	980	0.403014571403205	HVO_RS02050
HVO_RS02405	4738.43041941768	5304.14274239034	-0.0587601725241753	0.0587530370763926	-0.162710348067796	284	0.941246962923607	HVO_RS02405
HVO_RS03700	6768.02683330285	6102.27440503919	0.054021830281865	0.00817526602088514	0.149388232340577	284	0.991824733979115	HVO_RS03700
HVO_RS02975	47.7650892944065	361.37309066316	-0.473227752461856	0.61469884490718	-2.91946061438444	1385	0.38530115509282	HVO_RS02975
HVO_RS02980	784.086874559284	2335.54223740032	-0.451054261069771	0.601698113251911	-1.57467212122018	323	0.398301886748089	HVO_RS02980
HVO_RS03050	2574.84660546351	1695.01049961529	0.26106280594617	0.294717470144739	0.60319227733601	443	0.705282529855261	HVO_RS03050
HVO_RS01895	44.4667087479826	50.1527536973112	-0.0240530587787937	0.0175446318597182	-0.173603289928197	1352	0.982455368140282	HVO_RS01895
HVO_RS02410	139.571007065752	721.197889712891	-0.429026713062333	0.590345496293265	-2.3693958921357	683	0.409654503706735	HVO_RS02410
HVO_RS19875	80.3967997772902	339.02247754478	-0.37609790534855	0.566814776599245	-2.07617094804302	1340	0.433185223400755	HVO_RS19875
HVO_RS03495	3808.05107786553	1766.27605696209	0.328299629806428	0.379329072477611	1.1083419857707	284	0.620670927522389	HVO_RS03495
HVO_RS20065	646.632257602998	1743.85883149691	-0.37476640071247	0.566213278192361	-1.43126587208701	485	0.433786721807639	HVO_RS20065
HVO_RS20150	357.680104292119	679.371966940555	-0.194850737327965	0.361456213100816	-0.925531817582029	1115	0.638543786899184	HVO_RS20150
HVO_RS20155	283.6933467485	547.621708428641	-0.186442245025628	0.343390430145778	-0.948847321472955	914	0.656609569854222	HVO_RS20155
