Row.names	de00	de02	de04	de08	de24	old	new	prot	geneid	arcog	cog	gene_name
lcl|NC_013967.1_cds_WP_004042587.1_3521	1.59124044202243	7.31188871675996	5.30893003077658	5.40875877254966	5.06866633689117	HVO_2550	HVO_RS17010	30S ribosomal protein S14	rps14	arCOG00782	COG0199J	RpsN
lcl|NC_013967.1_cds_WP_004042567.1_3516	0.640254833800304	6.67062604351602	5.12703104386604	4.29088153205871	3.61570229340426	HVO_2545	HVO_RS16985	50S ribosomal protein L18	rpl18	arCOG04088	COG0256J	RplR
lcl|NC_013967.1_cds_WP_004044017.1_1954	4.80096945966296	6.61321980373727	6.76240075648232	5.02014345375267	6.00028936578271	HVO_0925	HVO_RS09125	hypothetical protein		arCOG14738	-	NA
lcl|NC_013964.1_cds_373	6.58997354435013	6.56743872333636	6.72043734309263	NA	7.39393498178731	HVO_RS19695	HVO_RS19695	molecular chaperone GroEL		NA	NA	NA
lcl|NC_013966.1_cds_465	NA	6.56743872333636	6.72043734309263	NA	NA	HVO_A0004	HVO_RS19715	peptide-methionine (S)-S-oxide reductase		NA	NA	NA
lcl|NC_013964.1_cds_WP_004041323.1_299	6.35384544821127	6.35787325575725	6.1710317476947	6.52707839505338	6.3246890401481	HVO_B0212	HVO_RS01045	hypothetical protein		-	-	-
lcl|NC_013967.1_cds_WP_004042565.1_3515	-0.673388797797306	6.20037056687392	4.44258007816139	4.02809730515263	2.61925852344016	HVO_2544	HVO_RS16980	30S ribosomal protein S5	rps5	arCOG04087	COG0098J	RpsE
lcl|NC_013967.1_cds_WP_004042593.1_3524	0.455268981234525	6.15431252059808	4.08504618695006	4.09264160572506	3.32949176517093	HVO_2553	HVO_RS17025	50S ribosomal protein L24	rpl24	arCOG04094	COG0198J	RplX
lcl|NC_013967.1_cds_WP_004042614.1_3533	1.24803659291536	5.94073479183363	4.00815155966021	3.98659613737476	3.15164749157729	HVO_2562	HVO_RS17070	50S ribosomal protein L23	rpl23	arCOG04072	COG0089J	RplW
lcl|NC_013968.1_cds_WP_013035711.1_79	4.3107623779628	5.83035197529102	5.25542994486203	NA	4.98847879141874	HVO_C0086	HVO_RS19620	hypothetical protein		-	-	-
