Row.names	de00	de02	de04	de08	de24	old	new	prot	geneid	arcog	cog	gene_name
lcl|NC_013967.1_cds_WP_004044017.1_1954	4.80096945966296	6.61321980373727	6.76240075648232	5.02014345375267	6.00028936578271	HVO_0925	HVO_RS09125	hypothetical protein		arCOG14738	-	NA
lcl|NC_013964.1_cds_373	6.58997354435013	6.56743872333636	6.72043734309263	NA	7.39393498178731	HVO_RS19695	HVO_RS19695	molecular chaperone GroEL		NA	NA	NA
lcl|NC_013966.1_cds_465	NA	6.56743872333636	6.72043734309263	NA	NA	HVO_A0004	HVO_RS19715	peptide-methionine (S)-S-oxide reductase		NA	NA	NA
lcl|NC_013966.1_cds_WP_013035044.1_849	4.2939819965632	5.47708827119956	6.44976348151883	5.8880996475114	6.67323517541727	HVO_A0399	HVO_RS03635	hypothetical protein		arCOG08905	-	-
lcl|NC_013967.1_cds_WP_004042773.1_3615	3.77431128577147	5.67567602726107	6.17733021036628	NA	NA	HVO_2649	HVO_RS17490	hypothetical protein		arCOG13625	-	NA
lcl|NC_013964.1_cds_WP_004041323.1_299	6.35384544821127	6.35787325575725	6.1710317476947	6.52707839505338	6.3246890401481	HVO_B0212	HVO_RS01045	hypothetical protein		-	-	-
lcl|NC_013967.1_cds_WP_013035545.1_2647	4.0934701844926	4.11641485535755	5.9974833426718	5.43753688255595	NA	HVO_1644	HVO_RS12600	hypothetical protein		arCOG08921	-	-
lcl|NC_013966.1_cds_WP_013035085.1_722	0.616462414702928	4.97719903299845	5.90952173107429	5.33706080461331	4.1633745835977	HVO_A0272	HVO_RS03050	DNA polymerase III subunit delta'		arCOG07054	COG3193R	GlcG
lcl|NC_013967.1_cds_WP_004045245.1_1208	0.153451732475559	3.28018486556536	5.82169490984251	5.04299003143216	4.41860633548828	HVO_0133	HVO_RS05345	thermosome subunit 1	cct1	arCOG01257	COG0459O	GroEL
lcl|NC_013966.1_cds_WP_081442868.1_772	6.4823798130713	4.62417048066859	5.75187357259907	6.26314142322404	6.26610675846167	HVO_RS19895	HVO_RS19895	hypothetical protein		NA	NA	-
