Row.names	de00	de02	de04	de08	de24	old	new	prot	geneid	arcog	cog	gene_name
lcl|NC_013964.1_cds_WP_004041323.1_299	6.35384544821127	6.35787325575725	6.1710317476947	6.52707839505338	6.3246890401481	HVO_B0212	HVO_RS01045	hypothetical protein		-	-	-
lcl|NC_013966.1_cds_WP_081442868.1_772	6.4823798130713	4.62417048066859	5.75187357259907	6.26314142322404	6.26610675846167	HVO_RS19895	HVO_RS19895	hypothetical protein		NA	NA	-
lcl|NC_013967.1_cds_WP_004041594.1_2705	0.55431350904678	4.05227268697176	5.65592683900837	5.99156529469187	5.97597391563548	HVO_1705	HVO_RS12900	iron ABC transporter substrate-binding protein	sfuA	arCOG00227	COG1840P	AfuA
lcl|NC_013964.1_cds_WP_004041336.1_285	0.554313509046781	1.12504919018902	4.99785682732336	5.99089632697185	6.11057851395692	HVO_B0198	HVO_RS00975	iron ABC transporter substrate-binding protein		arCOG06180	COG0614P	FepB
lcl|NC_013966.1_cds_WP_013035044.1_849	4.2939819965632	5.47708827119956	6.44976348151883	5.8880996475114	6.67323517541727	HVO_A0399	HVO_RS03635	hypothetical protein		arCOG08905	-	-
lcl|NC_013967.1_cds_WP_004044540.1_1447	NA	4.12117779329442	NA	5.60759931195948	NA	HVO_0383	HVO_RS06550	hypothetical protein		arCOG09044	COG1595K	RpoE
lcl|NC_013964.1_cds_WP_004041107.1_134	NA	0.461940166187215	4.45164716199999	5.58351314018239	5.96158655317921	HVO_B0047	HVO_RS00225	iron ABC transporter substrate-binding protein		arCOG06180	COG0614P	FepB
lcl|NC_013967.1_cds_WP_013035545.1_2647	4.0934701844926	4.11641485535755	5.9974833426718	5.43753688255595	NA	HVO_1644	HVO_RS12600	hypothetical protein		arCOG08921	-	-
lcl|NC_013966.1_cds_WP_004043384.1_516	NA	3.8322203458821	3.94733949785561	5.42933232565887	4.44840947395519	HVO_A0052	HVO_RS02110	hypothetical protein		arCOG07574	-	-
lcl|NC_013967.1_cds_WP_081442882.1_1353	5.79570419009487	5.74250830990373	5.73965142070492	5.40976361566732	4.16421285654913	HVO_0280A	HVO_RS20110	hypothetical protein		arCOG06428	-	-
