Row.names	de00	de02	de04	de08	de24	old	new	prot	geneid	arcog	cog	gene_name
lcl|NC_013967.1_cds_WP_013035644.1_2532	-3.54179820171189	-3.96779859978839	-1.87968717106148	-4.26098827401704	-1.69971864443512	HVO_1525	HVO_RS12030	IS4 family transposase		arCOG06160	COG3385L	-
lcl|NC_013966.1_cds_WP_081442870.1_811	-4.02212569989411	1.36854761883465	0.327816713161224	0.958748148388982	0.0503457774951394	HVO_A0359	HVO_RS19940	hypothetical protein		NA	NA	-
lcl|NC_013967.1_cds_WP_004044556.1_1432	-4.0680941954622	0.576543636252916	0.361813954999192	0.442595180385423	-0.590079745163312	HVO_0368	HVO_RS06475	hypothetical protein		-	-	NA
lcl|NC_013967.1_cds_WP_004042972.1_3706	-4.60268107112752	1.43659322063476	-0.433682933408747	0.808559081788741	-5.26571293986232	HVO_2741	HVO_RS17945	hypothetical protein		-	-	NA
lcl|NC_013967.1_cds_WP_004044546.1_1441	-4.60268107112752	0.607518635583196	-5.2412520183505	0.493439325228192	-5.26571293986232	HVO_0378	HVO_RS06520	hypothetical protein		-	-	NA
lcl|NC_013967.1_cds_WP_004041688.1_2793	-4.87244964353826	-0.643038440197718	-0.532646219475596	-2.2304249255743	0.0400504030277743	HVO_1805	HVO_RS13365	hypothetical protein		arCOG13157	-	-
lcl|NC_013967.1_cds_WP_004043629.1_2324	-4.87244964353826	-5.30317556010248	-5.50629539063026	-1.26404706396306	0.0119861415806349	HVO_RS11000	HVO_RS11000	hypothetical protein		NA	NA	-
lcl|NC_013967.1_cds_WP_004045285.1_1247	-5.11998348986504	-6.91023414540487	-8.21440585993537	-6.76875672425655	-5.07436737305847	HVO_0171	HVO_RS05540	SWIM zinc finger domain-containing protein		arCOG07773	-	-
lcl|NC_013967.1_cds_WP_004044551.1_1436	-5.41791743129091	-0.898491672991798	-6.03945934470498	0.78987545766239	-0.0164226740290905	HVO_0373	HVO_RS06495	hypothetical protein		-	-	NA
lcl|NC_013966.1_cds_WP_081442873.1_858	-8.57913009247857	-9.00317812214587	-4.01746486320054	-9.29607245141826	-9.24223648510062	HVO_A0408A	HVO_RS19985	hypothetical protein		NA	NA	NA
