	shaking_mean	t02_mean	theta	prob	log2FC	length	P	locus_tag
HVO_RS00705	128.284061953543	1074.81991160949	-0.602658468353558	0.895954477289811	-3.06668110755007	695	0.104045522710189	HVO_RS00705
HVO_RS00635	204.29051142146	855.054478028595	-0.391035025017682	0.70553704461928	-2.06539414376225	863	0.29446295538072	HVO_RS00635
HVO_RS00570	25.9511472924499	422.700421638927	-0.625001013679541	0.901794056572017	-4.02576532522013	1949	0.0982059434279826	HVO_RS00570
HVO_RS00350	102.824501029863	1392.78710660844	-0.657752843788727	0.905694413733902	-3.75971877667087	530	0.0943055862660983	HVO_RS00350
HVO_RS00090	50.4546530554287	1102.55720005076	-0.732741473192706	0.915138250363993	-4.44972236926632	653	0.0848617496360067	HVO_RS00090
HVO_RS01720	75.3382078242976	1485.00828771719	-0.735285731362223	0.915472633837892	-4.30094545811201	524	0.0845273661621079	HVO_RS01720
HVO_RS01710	6.65001772358009	336.814439976041	-0.827780126149059	0.902356147410157	-5.66245199533575	2303	0.0976438525898427	HVO_RS01710
HVO_RS01330	11.6566374769759	439.122768072455	-0.767592262940769	0.915760645611917	-5.23540075094469	1706	0.0842393543880828	HVO_RS01330
HVO_RS00950	4771.58359179103	5573.80116841639	-0.0863314070910702	0	-0.22419339186291	371	1	HVO_RS00950
HVO_RS00945	299.118800735613	2736.93645682874	-0.696744350546601	0.909208300099898	-3.19377144298968	311	0.0907916999001016	HVO_RS00945
HVO_RS00895	197.454220658499	752.672433839758	-0.33676004452191	0.573129101272983	-1.93050392834737	974	0.426870898727017	HVO_RS00895
HVO_RS00770	156.647046220009	201.233183637983	-0.053808973783358	0.0101028826458439	-0.361350661114403	548	0.989897117354156	HVO_RS00770
HVO_RS00755	2408.68155090311	1872.73691130112	0.110833873674261	0.26020795260274	0.36309543016569	413	0.73979204739726	HVO_RS00755
HVO_RS04090	286.415052686312	1038.51488105995	-0.379140176141973	0.680781176909128	-1.8583426676917	872	0.319218823090872	HVO_RS04090
HVO_RS04280	145.423235722712	1267.60898657865	-0.606969570829577	0.89729762083647	-3.12378008611887	599	0.10270237916353	HVO_RS04280
HVO_RS04545	31.4782165143161	1140.30424938571	-0.841339107351151	0.900556633272812	-5.1789211938035	611	0.0994433667271885	HVO_RS04545
HVO_RS04675	850.810192264711	2468.25886745089	-0.404964530921336	0.731078770017358	-1.53658448895675	368	0.268921229982642	HVO_RS04675
HVO_RS02480	100.949838373221	1047.99739630092	-0.577832121761042	0.886542409989606	-3.37592462663133	611	0.113457590010394	HVO_RS02480
HVO_RS02940	310.807834324786	1409.62311334164	-0.516909294405461	0.852103751729159	-2.18121471081748	527	0.147896248270841	HVO_RS02940
HVO_RS03305	22.9877643390428	1131.26644527761	-0.924620199373534	0.895873070269176	-5.62092879019902	581	0.104126929730824	HVO_RS03305
HVO_RS02130	28.1990131097313	736.117632159821	-0.734054053744563	0.915315091389883	-4.70621975033358	821	0.0846849086101175	HVO_RS02130
