genes	cluster	locus_tag	rs	start	stop	chr	op1
lcl|NC_013967.1_cds_WP_004045288.1_1250	4	HVO_RS05555	5555	157202	157795	Chromosome	0
lcl|NC_013967.1_cds_WP_004044241.1_1737	4	HVO_RS08040	8040	624993	625706	Chromosome	0
lcl|NC_013967.1_cds_WP_004044199.1_1776	4	HVO_RS08240	8240	658792	659073	Chromosome	0
lcl|NC_013967.1_cds_WP_004043792.1_2169	4	HVO_RS10210	10210	1046482	1046724	Chromosome	0
lcl|NC_013967.1_cds_WP_004043771.1_2190	4	HVO_RS10325	10325	1067603	1068031	Chromosome	0
lcl|NC_013967.1_cds_WP_004041617.1_2727	4	HVO_RS13040	13040	1603637	1604212	Chromosome	0
lcl|NC_013967.1_cds_WP_004041740.1_2844	4	HVO_RS13620	13620	1716206	1716661	Chromosome	0
lcl|NC_013967.1_cds_WP_004041912.1_3007	4	HVO_RS14445	14445	1871717	1872109	Chromosome	0
lcl|NC_013967.1_cds_WP_004041947.1_3043	4	HVO_RS14615	14615	1911379	1911816	Chromosome	0
lcl|NC_013967.1_cds_WP_004044900.1_3946	4	HVO_RS19195	19195	2825137	2825526	Chromosome	0
lcl|NC_013968.1_cds_WP_013035713.1_21	4	HVO_RS19375	19375	16507	16875	pHV1	0
