genes	cluster	locus_tag	rs	start	stop	chr	op1
lcl|NC_013964.1_cds_WP_004041340.1_281	7	HVO_RS00955	955	224177	225361	pHV3	0
lcl|NC_013964.1_cds_WP_004041262.1_360	7	HVO_RS01345	1345	328409	329380	pHV3	0
lcl|NC_013964.1_cds_WP_004041251.1_371	7	HVO_RS01395	1395	337368	337565	pHV3	0
lcl|NC_013964.1_cds_WP_004041174.1_442	7	HVO_RS01745	1745	417818	418459	pHV3	0
lcl|NC_013964.1_cds_WP_004041173.1_443	7	HVO_RS01750	1750	418592	418831	pHV3	1
lcl|NC_013964.1_cds_WP_004041157.1_457	7	HVO_RS01820	1820	433048	433440	pHV3	0
lcl|NC_013964.1_cds_WP_004041153.1_461	7	HVO_RS01840	1840	436747	437313	pHV3	0
lcl|NC_013966.1_cds_WP_049941486.1_471	7	HVO_RS01905	1905	9938	10657	pHV4	0
lcl|NC_013966.1_cds_WP_013035031.1_477	7	HVO_RS01930	1930	15297	16295	pHV4	0
lcl|NC_013966.1_cds_WP_004043067.1_599	7	HVO_RS02470	2470	135432	135617	pHV4	0
lcl|NC_013966.1_cds_WP_004043082.1_614	7	HVO_RS02545	2545	151328	151816	pHV4	0
lcl|NC_013966.1_cds_WP_013035165.1_617	7	HVO_RS02560	2560	153959	155953	pHV4	0
lcl|NC_013966.1_cds_WP_004043095.1_628	7	HVO_RS02615	2615	169386	170126	pHV4	0
lcl|NC_013966.1_cds_WP_004043108.1_641	7	HVO_RS02680	2680	184889	185605	pHV4	0
lcl|NC_013966.1_cds_WP_004043112.1_647	7	HVO_RS02700	2700	188487	188930	pHV4	0
lcl|NC_013966.1_cds_WP_013035187.1_664	7	HVO_RS02780	2780	215804	216355	pHV4	0
lcl|NC_013966.1_cds_WP_004043160.1_696	7	HVO_RS02930	2930	246816	247001	pHV4	0
lcl|NC_013966.1_cds_WP_004043258.1_798	7	HVO_RS03405	3405	357800	359047	pHV4	0
lcl|NC_013966.1_cds_WP_013035046.1_816	7	HVO_RS03480	3480	375384	376550	pHV4	0
lcl|NC_013966.1_cds_WP_004040803.1_894	7	HVO_RS03810	3810	450828	451184	pHV4	0
