genes	cluster	locus_tag	rs	start	stop	chr	op1
lcl|NC_013964.1_cds_WP_004041008.1_233	8	HVO_RS00720	720	165739	167340	pHV3	0
lcl|NC_013964.1_cds_WP_004041006.1_235	8	HVO_RS00730	730	169317	169745	pHV3	0
lcl|NC_013966.1_cds_WP_013035025.1_479	8	HVO_RS01935	1935	17092	18090	pHV4	0
lcl|NC_013966.1_cds_WP_004062178.1_576	8	HVO_RS02385	2385	113348	113815	pHV4	0
lcl|NC_013966.1_cds_WP_013035079.1_577	8	HVO_RS02390	2390	113796	114104	pHV4	1
lcl|NC_013966.1_cds_WP_004043293.1_844	8	HVO_RS03610	3610	404316	404828	pHV4	0
lcl|NC_013966.1_cds_WP_049941497.1_996	8	HVO_RS04295	4295	549629	550117	pHV4	0
lcl|NC_013966.1_cds_WP_004040946.1_1034	8	HVO_RS04485	4485	594503	594871	pHV4	0
lcl|NC_013966.1_cds_WP_004040953.1_1041	8	HVO_RS04520	4520	600914	601564	pHV4	0
lcl|NC_013966.1_cds_WP_004040969.1_1057	8	HVO_RS04600	4600	613711	613917	pHV4	0
lcl|NC_013966.1_cds_WP_004040986.1_1075	8	HVO_RS04685	4685	630851	631291	pHV4	0
lcl|NC_013967.1_cds_WP_004044965.1_1088	8	HVO_RS04745	4745	8873	10219	Chromosome	0
lcl|NC_013967.1_cds_WP_004044970.1_1090	8	HVO_RS04755	4755	10956	11528	Chromosome	0
lcl|NC_013967.1_cds_WP_004045112.1_1147	8	HVO_RS05035	5035	72161	72538	Chromosome	0
lcl|NC_013967.1_cds_WP_004045161.1_1167	8	HVO_RS05135	5135	90474	90758	Chromosome	0
lcl|NC_013967.1_cds_WP_004045195.1_1180	8	HVO_RS05200	5200	103089	104234	Chromosome	0
lcl|NC_013967.1_cds_WP_004045197.1_1181	8	HVO_RS05205	5205	104245	104658	Chromosome	1
lcl|NC_013967.1_cds_WP_004045241.1_1204	8	HVO_RS05320	5320	120802	121179	Chromosome	0
lcl|NC_013967.1_cds_WP_004045277.1_1239	8	HVO_RS05500	5500	148866	149378	Chromosome	0
lcl|NC_013967.1_cds_WP_004045278.1_1240	8	HVO_RS05505	5505	149375	149722	Chromosome	1
lcl|NC_013967.1_cds_WP_004045308.1_1268	8	HVO_RS05645	5645	174892	176016	Chromosome	0
lcl|NC_013967.1_cds_WP_004045324.1_1284	8	HVO_RS05725	5725	191384	191674	Chromosome	0
lcl|NC_013967.1_cds_WP_004045377.1_1332	8	HVO_RS05965	5965	233436	233702	Chromosome	0
lcl|NC_013967.1_cds_WP_004044632.1_1361	8	HVO_RS06105	6105	260600	261190	Chromosome	0
lcl|NC_013967.1_cds_WP_004044631.1_1362	8	HVO_RS06110	6110	261191	262126	Chromosome	1
lcl|NC_013967.1_cds_WP_004044625.1_1368	8	HVO_RS06140	6140	265809	266291	Chromosome	0
lcl|NC_013967.1_cds_WP_004044568.1_1421	8	HVO_RS06415	6415	322539	323294	Chromosome	0
lcl|NC_013967.1_cds_WP_004044543.1_1444	8	HVO_RS06535	6535	339578	339793	Chromosome	0
lcl|NC_013967.1_cds_WP_004044522.1_1464	8	HVO_RS06635	6635	356734	357192	Chromosome	0
lcl|NC_013967.1_cds_WP_004044495.1_1490	8	HVO_RS06760	6760	385608	386129	Chromosome	0
lcl|NC_013967.1_cds_WP_004044481.1_1504	8	HVO_RS06830	6830	393349	393960	Chromosome	0
lcl|NC_013967.1_cds_WP_013035300.1_1515	8	HVO_RS06885	6885	404006	405001	Chromosome	0
lcl|NC_013967.1_cds_WP_004044440.1_1543	8	HVO_RS07030	7030	429927	430979	Chromosome	0
lcl|NC_013967.1_cds_WP_004044433.1_1550	8	HVO_RS07065	7065	435432	435830	Chromosome	0
lcl|NC_013967.1_cds_WP_004044428.1_1554	8	HVO_RS07085	7085	437774	438166	Chromosome	0
lcl|NC_013967.1_cds_WP_004057909.1_1557	8	HVO_RS07105	7105	440257	440451	Chromosome	0
lcl|NC_013967.1_cds_WP_004057907.1_1558	8	HVO_RS07110	7110	440611	440805	Chromosome	1
lcl|NC_013967.1_cds_WP_004044423.1_1559	8	HVO_RS07120	7120	441371	442039	Chromosome	0
lcl|NC_013967.1_cds_WP_004044422.1_1560	8	HVO_RS07125	7125	442085	442483	Chromosome	1
lcl|NC_013967.1_cds_WP_004044399.1_1584	8	HVO_RS07265	7265	463243	464286	Chromosome	0
lcl|NC_013967.1_cds_WP_004044395.1_1588	8	HVO_RS07285	7285	467702	468232	Chromosome	0
lcl|NC_013967.1_cds_WP_004044369.1_1613	8	HVO_RS07410	7410	498059	499351	Chromosome	0
lcl|NC_013967.1_cds_WP_004044368.1_1614	8	HVO_RS07415	7415	499582	500721	Chromosome	1
lcl|NC_013967.1_cds_WP_004044337.1_1644	8	HVO_RS07570	7570	528489	528956	Chromosome	0
lcl|NC_013967.1_cds_WP_004044336.1_1645	8	HVO_RS07575	7575	529064	529795	Chromosome	1
lcl|NC_013967.1_cds_WP_004044207.1_1769	8	HVO_RS08205	8205	653354	653713	Chromosome	0
lcl|NC_013967.1_cds_WP_004044203.1_1773	8	HVO_RS08225	8225	656079	657341	Chromosome	0
lcl|NC_013967.1_cds_WP_049941502.1_1800	8	HVO_RS08360	8360	684671	685159	Chromosome	0
lcl|NC_013967.1_cds_WP_004044167.1_1806	8	HVO_RS08390	8390	690965	691660	Chromosome	0
lcl|NC_013967.1_cds_WP_004044164.1_1809	8	HVO_RS08405	8405	693320	694084	Chromosome	0
lcl|NC_013967.1_cds_WP_004044145.1_1827	8	HVO_RS08495	8495	710480	710893	Chromosome	0
lcl|NC_013967.1_cds_WP_004044136.1_1836	8	HVO_RS08540	8540	719859	720482	Chromosome	0
lcl|NC_013967.1_cds_WP_004044093.1_1877	8	HVO_RS08745	8745	759259	759648	Chromosome	0
lcl|NC_013967.1_cds_WP_004044092.1_1878	8	HVO_RS08750	8750	759648	760286	Chromosome	1
