genes	cluster	locus_tag	rs	start	stop	chr	op1
lcl|NC_013964.1_cds_WP_004041138.1_102	17	HVO_RS00070	70	16592	16822	pHV3	0
lcl|NC_013964.1_cds_WP_013034939.1_270	17	HVO_RS00905	905	213673	215244	pHV3	0
lcl|NC_013964.1_cds_WP_004041339.1_282	17	HVO_RS00960	960	225456	225641	pHV3	0
lcl|NC_013964.1_cds_WP_004041154.1_460	17	HVO_RS01835	1835	435809	436474	pHV3	0
lcl|NC_013966.1_cds_WP_013035020.1_566	17	HVO_RS02345	2345	106831	107016	pHV4	0
lcl|NC_013966.1_cds_WP_004040859.1_958	17	HVO_RS04110	4110	514365	514685	pHV4	0
lcl|NC_013966.1_cds_WP_004040860.1_959	17	HVO_RS04115	4115	514688	515506	pHV4	1
lcl|NC_013966.1_cds_WP_004040861.1_960	17	HVO_RS04120	4120	515499	515942	pHV4	1
lcl|NC_013966.1_cds_WP_004040883.1_982	17	HVO_RS04225	4225	535259	535849	pHV4	0
lcl|NC_013966.1_cds_WP_004040967.1_1055	17	HVO_RS04590	4590	611603	612610	pHV4	0
lcl|NC_013967.1_cds_WP_004045302.1_1262	17	HVO_RS05615	5615	169702	170184	Chromosome	0
lcl|NC_013967.1_cds_WP_049914900.1_1590	17	HVO_RS07295	7295	469061	469873	Chromosome	0
lcl|NC_013967.1_cds_WP_004043974.1_1997	17	HVO_RS09345	9345	879448	880692	Chromosome	0
lcl|NC_013967.1_cds_WP_004041591.1_2702	17	HVO_RS12885	12885	1562799	1563230	Chromosome	0
lcl|NC_013967.1_cds_WP_004041637.1_2748	17	HVO_RS13140	13140	1624604	1624786	Chromosome	0
lcl|NC_013967.1_cds_WP_004042005.1_3100	17	HVO_RS14895	14895	1985891	1986100	Chromosome	0
lcl|NC_013967.1_cds_WP_004042008.1_3103	17	HVO_RS14910	14910	1988273	1989277	Chromosome	0
lcl|NC_013967.1_cds_WP_004042009.1_3104	17	HVO_RS14915	14915	1989279	1990238	Chromosome	1
lcl|NC_013967.1_cds_WP_004042021.1_3117	17	HVO_RS14980	14980	2003173	2003493	Chromosome	0
lcl|NC_013967.1_cds_WP_004042098.1_3184	17	HVO_RS15315	15315	2074256	2074501	Chromosome	0
lcl|NC_013967.1_cds_WP_004042753.1_3602	17	HVO_RS17425	17425	2485152	2485982	Chromosome	0
lcl|NC_013967.1_cds_WP_004042764.1_3609	17	HVO_RS17460	17460	2491350	2492390	Chromosome	0
lcl|NC_013967.1_cds_WP_081442893.1_3504	17	HVO_RS20295	20295	2400186	2400497	Chromosome	0
