genes	cluster	locus_tag	rs	start	stop	chr	op1
lcl|NC_013964.1_cds_WP_004041114.1_127	16	HVO_RS00190	190	44953	45708	pHV3	0
lcl|NC_013964.1_cds_WP_004041091.1_150	16	HVO_RS00305	305	73155	73340	pHV3	0
lcl|NC_013964.1_cds_WP_004041090.1_151	16	HVO_RS00310	310	73343	74179	pHV3	1
lcl|NC_013964.1_cds_WP_004041088.1_153	16	HVO_RS00320	320	74645	75139	pHV3	0
lcl|NC_013964.1_cds_WP_004041079.1_162	16	HVO_RS00365	365	84904	86448	pHV3	0
lcl|NC_013964.1_cds_WP_004041078.1_163	16	HVO_RS00370	370	86441	87532	pHV3	1
lcl|NC_013964.1_cds_WP_004041073.1_168	16	HVO_RS00395	395	91625	93346	pHV3	0
lcl|NC_013964.1_cds_WP_004041071.1_170	16	HVO_RS00405	405	95047	95463	pHV3	0
lcl|NC_013964.1_cds_WP_004041012.1_229	16	HVO_RS00700	700	161336	162310	pHV3	0
lcl|NC_013964.1_cds_WP_004041376.1_245	16	HVO_RS00780	780	185436	186071	pHV3	0
lcl|NC_013964.1_cds_WP_004041336.1_285	16	HVO_RS00975	975	227816	229012	pHV3	0
lcl|NC_013964.1_cds_WP_049914744.1_298	16	HVO_RS01040	1040	245522	246322	pHV3	0
lcl|NC_013964.1_cds_WP_004041301.1_322	16	HVO_RS01155	1155	279171	279377	pHV3	0
lcl|NC_013964.1_cds_WP_004041242.1_381	16	HVO_RS01440	1440	345549	345734	pHV3	0
lcl|NC_013964.1_cds_WP_004041159.1_455	16	HVO_RS01810	1810	430739	431749	pHV3	0
lcl|NC_013966.1_cds_WP_004040992.1_463	16	HVO_RS01875	1875	2008	2586	pHV4	0
lcl|NC_013966.1_cds_WP_049941487.1_483	16	HVO_RS01950	1950	21954	22307	pHV4	0
lcl|NC_013966.1_cds_WP_004043390.1_512	16	HVO_RS02090	2090	43402	43689	pHV4	0
lcl|NC_013966.1_cds_WP_004043357.1_548	16	HVO_RS02250	2250	83529	83906	pHV4	0
lcl|NC_013966.1_cds_WP_013035027.1_551	16	HVO_RS02265	2265	86868	87260	pHV4	0
lcl|NC_013966.1_cds_WP_004043353.1_552	16	HVO_RS02270	2270	87519	88388	pHV4	1
lcl|NC_013966.1_cds_WP_013035227.1_560	16	HVO_RS02310	2310	98970	99812	pHV4	0
lcl|NC_013966.1_cds_WP_049941494.1_582	16	HVO_RS02415	2415	118039	118692	pHV4	0
lcl|NC_013966.1_cds_WP_013035173.1_583	16	HVO_RS02420	2420	118888	119529	pHV4	1
lcl|NC_013966.1_cds_WP_004043063.1_590	16	HVO_RS02450	2450	127679	127990	pHV4	0
lcl|NC_013966.1_cds_WP_004043080.1_611	16	HVO_RS02530	2530	148020	149084	pHV4	0
lcl|NC_013966.1_cds_WP_004043086.1_618	16	HVO_RS02565	2565	156152	157918	pHV4	0
lcl|NC_013966.1_cds_WP_081442876.1_649	16	HVO_RS02710	2710	189549	189806	pHV4	0
lcl|NC_013966.1_cds_WP_004043189.1_724	16	HVO_RS03060	3060	280224	281027	pHV4	0
lcl|NC_013966.1_cds_WP_004043191.1_726	16	HVO_RS03070	3070	282252	283844	pHV4	0
lcl|NC_013966.1_cds_WP_004043204.1_740	16	HVO_RS03135	3135	298349	298723	pHV4	0
lcl|NC_013966.1_cds_WP_013035125.1_779	16	HVO_RS03315	3315	336439	338493	pHV4	0
lcl|NC_013966.1_cds_WP_013035117.1_783	16	HVO_RS03335	3335	341689	342843	pHV4	0
lcl|NC_013966.1_cds_WP_004043245.1_784	16	HVO_RS03340	3340	342911	343681	pHV4	1
lcl|NC_013966.1_cds_WP_004043267.1_812	16	HVO_RS03460	3460	371820	372134	pHV4	0
lcl|NC_013966.1_cds_WP_013035194.1_818	16	HVO_RS03485	3485	377675	377890	pHV4	0
lcl|NC_013966.1_cds_WP_004043278.1_828	16	HVO_RS03530	3530	386436	387218	pHV4	0
lcl|NC_013966.1_cds_WP_004043279.1_829	16	HVO_RS03535	3535	387218	388993	pHV4	1
lcl|NC_013966.1_cds_WP_013035057.1_830	16	HVO_RS03540	3540	388990	391035	pHV4	1
lcl|NC_013966.1_cds_WP_004041391.1_876	16	HVO_RS03745	3745	431457	432383	pHV4	0
lcl|NC_013966.1_cds_WP_013035123.1_878	16	HVO_RS03755	3755	434234	435847	pHV4	0
lcl|NC_013966.1_cds_WP_004040812.1_910	16	HVO_RS03875	3875	465053	465928	pHV4	0
lcl|NC_013966.1_cds_WP_004040813.1_911	16	HVO_RS03880	3880	465925	466335	pHV4	1
lcl|NC_013966.1_cds_WP_013035041.1_990	16	HVO_RS04265	4265	544688	545944	pHV4	0
lcl|NC_013966.1_cds_WP_004040957.1_1045	16	HVO_RS04540	4540	603818	604237	pHV4	0
lcl|NC_013967.1_cds_WP_004044979.1_1095	16	HVO_RS04785	4785	16358	16936	Chromosome	0
lcl|NC_013967.1_cds_WP_004045090.1_1140	16	HVO_RS05000	5000	61296	63134	Chromosome	0
lcl|NC_013967.1_cds_WP_004045114.1_1148	16	HVO_RS05040	5040	72583	72900	Chromosome	0
lcl|NC_013967.1_cds_WP_004045245.1_1208	16	HVO_RS05345	5345	123087	124739	Chromosome	0
lcl|NC_013967.1_cds_WP_004045293.1_1254	16	HVO_RS05575	5575	162031	162816	Chromosome	0
lcl|NC_013967.1_cds_WP_004045346.1_1306	16	HVO_RS05835	5835	209687	209917	Chromosome	0
lcl|NC_013967.1_cds_WP_004045357.1_1315	16	HVO_RS05880	5880	218337	219419	Chromosome	0
lcl|NC_013967.1_cds_WP_004044535.1_1451	16	HVO_RS06570	6570	343699	345018	Chromosome	0
lcl|NC_013967.1_cds_WP_004044467.1_1516	16	HVO_RS06890	6890	405300	406943	Chromosome	0
lcl|NC_013967.1_cds_WP_004044463.1_1520	16	HVO_RS06915	6915	408661	409047	Chromosome	0
lcl|NC_013967.1_cds_WP_013035627.1_1539	16	HVO_RS07010	7010	426605	427672	Chromosome	0
lcl|NC_013967.1_cds_WP_004044373.1_1609	16	HVO_RS07390	7390	494928	495119	Chromosome	0
lcl|NC_013967.1_cds_WP_004044253.1_1725	16	HVO_RS07980	7980	609107	611629	Chromosome	0
lcl|NC_013967.1_cds_WP_004044159.1_1814	16	HVO_RS08430	8430	697240	698802	Chromosome	0
lcl|NC_013967.1_cds_WP_004044124.1_1847	16	HVO_RS08595	8595	731572	733857	Chromosome	0
lcl|NC_013967.1_cds_WP_049941503.1_1995	16	HVO_RS09335	9335	874483	876177	Chromosome	0
lcl|NC_013967.1_cds_WP_004043865.1_2097	16	HVO_RS09850	9850	979756	980430	Chromosome	0
lcl|NC_013967.1_cds_WP_004043814.1_2146	16	HVO_RS10095	10095	1023195	1024244	Chromosome	0
lcl|NC_013967.1_cds_WP_004043779.1_2182	16	HVO_RS10285	10285	1061644	1061919	Chromosome	0
lcl|NC_013967.1_cds_WP_004043778.1_2183	16	HVO_RS10290	10290	1062179	1062679	Chromosome	1
lcl|NC_013967.1_cds_WP_004043777.1_2184	16	HVO_RS10295	10295	1062761	1063573	Chromosome	1
lcl|NC_013967.1_cds_WP_004043756.1_2204	16	HVO_RS10395	10395	1079116	1079298	Chromosome	0
