genes	cluster	locus_tag	rs	start	stop	chr	op1
lcl|NC_013964.1_cds_WP_004041113.1_128	2	HVO_RS00195	195	46367	48205	pHV3	0
lcl|NC_013964.1_cds_WP_004041112.1_129	2	HVO_RS00200	200	48214	49587	pHV3	1
lcl|NC_013964.1_cds_WP_004041110.1_131	2	HVO_RS00210	210	50222	52003	pHV3	0
lcl|NC_013964.1_cds_WP_004041109.1_132	2	HVO_RS00215	215	52000	53565	pHV3	1
lcl|NC_013964.1_cds_WP_004041108.1_133	2	HVO_RS00220	220	53562	54941	pHV3	1
lcl|NC_013964.1_cds_WP_004041107.1_134	2	HVO_RS00225	225	55399	56601	pHV3	1
lcl|NC_013964.1_cds_WP_004041105.1_136	2	HVO_RS00235	235	57495	58175	pHV3	0
lcl|NC_013964.1_cds_WP_004041104.1_137	2	HVO_RS00240	240	58168	62022	pHV3	1
lcl|NC_013964.1_cds_WP_004041100.1_141	2	HVO_RS00260	260	65852	67072	pHV3	0
lcl|NC_013964.1_cds_WP_004041097.1_144	2	HVO_RS00275	275	67999	69033	pHV3	0
lcl|NC_013964.1_cds_WP_004041096.1_145	2	HVO_RS00280	280	69037	69921	pHV3	1
lcl|NC_013964.1_cds_WP_004041095.1_146	2	HVO_RS00285	285	69918	70898	pHV3	1
lcl|NC_013964.1_cds_WP_004041094.1_147	2	HVO_RS00290	290	70891	71730	pHV3	1
lcl|NC_013964.1_cds_WP_004041089.1_152	2	HVO_RS00315	315	74179	74520	pHV3	0
lcl|NC_013964.1_cds_WP_004041060.1_181	2	HVO_RS00460	460	107105	107566	pHV3	0
lcl|NC_013964.1_cds_WP_004041026.1_215	2	HVO_RS00630	630	144548	144955	pHV3	0
lcl|NC_013964.1_cds_WP_081442862.1_234	2	HVO_RS00725	725	167680	168720	pHV3	0
lcl|NC_013964.1_cds_WP_004041294.1_328	2	HVO_RS01185	1185	287729	288964	pHV3	0
lcl|NC_013966.1_cds_WP_004043134.1_667	2	HVO_RS02795	2795	218613	219671	pHV4	0
lcl|NC_013966.1_cds_WP_004043153.1_687	2	HVO_RS02890	2890	237346	237771	pHV4	0
lcl|NC_013966.1_cds_WP_004043230.1_767	2	HVO_RS03265	3265	327461	327676	pHV4	0
lcl|NC_013966.1_cds_WP_013035099.1_877	2	HVO_RS03750	3750	432411	434114	pHV4	0
lcl|NC_013966.1_cds_WP_004040858.1_957	2	HVO_RS04105	4105	513415	514359	pHV4	0
lcl|NC_013966.1_cds_WP_004040892.1_991	2	HVO_RS04270	4270	546161	546592	pHV4	0
lcl|NC_013966.1_cds_WP_013035145.1_1004	2	HVO_RS04340	4340	561274	562509	pHV4	0
lcl|NC_013966.1_cds_WP_013035138.1_1029	2	HVO_RS04465	4465	589597	590685	pHV4	0
lcl|NC_013967.1_cds_WP_004044393.1_1589	2	HVO_RS07290	7290	468630	469064	Chromosome	0
lcl|NC_013967.1_cds_WP_004044233.1_1744	2	HVO_RS08075	8075	629659	629919	Chromosome	0
lcl|NC_013967.1_cds_WP_004044220.1_1757	2	HVO_RS08145	8145	643397	644536	Chromosome	0
lcl|NC_013967.1_cds_WP_004044201.1_1774	2	HVO_RS08230	8230	657583	658038	Chromosome	0
lcl|NC_013967.1_cds_WP_004044137.1_1835	2	HVO_RS08535	8535	719373	719642	Chromosome	0
lcl|NC_013967.1_cds_WP_004044044.1_1925	2	HVO_RS08985	8985	811838	813826	Chromosome	0
lcl|NC_013967.1_cds_WP_004044043.1_1926	2	HVO_RS08990	8990	813856	814101	Chromosome	1
lcl|NC_013967.1_cds_WP_004044032.1_1937	2	HVO_RS09045	9045	824054	825817	Chromosome	0
lcl|NC_013967.1_cds_WP_004043815.1_2145	2	HVO_RS10090	10090	1022943	1023128	Chromosome	0
lcl|NC_013967.1_cds_WP_004043596.1_2356	2	HVO_RS11165	11165	1221860	1222195	Chromosome	0
lcl|NC_013967.1_cds_WP_004043497.1_2450	2	HVO_RS11640	11640	1309411	1309830	Chromosome	0
lcl|NC_013967.1_cds_WP_004043489.1_2458	2	HVO_RS11680	11680	1317778	1318671	Chromosome	0
lcl|NC_013967.1_cds_WP_004043471.1_2475	2	HVO_RS11765	11765	1335454	1336671	Chromosome	0
lcl|NC_013967.1_cds_WP_004041505.1_2618	2	HVO_RS12455	12455	1482327	1483013	Chromosome	0
lcl|NC_013967.1_cds_WP_004041642.1_2753	2	HVO_RS13165	13165	1627769	1628884	Chromosome	0
lcl|NC_013967.1_cds_WP_049914765.1_2754	2	HVO_RS13170	13170	1628917	1629765	Chromosome	1
lcl|NC_013967.1_cds_WP_004041826.1_2925	2	HVO_RS14035	14035	1797346	1797639	Chromosome	0
lcl|NC_013967.1_cds_WP_004041872.1_2969	2	HVO_RS14260	14260	1837331	1838560	Chromosome	0
lcl|NC_013967.1_cds_WP_004041899.1_2994	2	HVO_RS14380	14380	1860594	1861604	Chromosome	0
lcl|NC_013967.1_cds_WP_004041925.1_3018	2	HVO_RS14505	14505	1883147	1884325	Chromosome	0
lcl|NC_013967.1_cds_WP_004041951.1_3046	2	HVO_RS14630	14630	1914245	1915219	Chromosome	0
lcl|NC_013967.1_cds_WP_004041966.1_3063	2	HVO_RS14715	14715	1942628	1943305	Chromosome	0
lcl|NC_013967.1_cds_WP_004041978.1_3074	2	HVO_RS14770	14770	1958400	1959647	Chromosome	0
lcl|NC_013967.1_cds_WP_004042020.1_3116	2	HVO_RS14975	14975	2002317	2002931	Chromosome	0
