genes	cluster	locus_tag	rs	start	stop	chr	op1
lcl|NC_013967.1_cds_WP_004045247.1_1210	15	HVO_RS05355	5355	125628	126500	Chromosome	0
lcl|NC_013967.1_cds_WP_013035596.1_1394	15	HVO_RS06270	6270	296025	296738	Chromosome	0
lcl|NC_013967.1_cds_WP_004044491.1_1494	15	HVO_RS06780	6780	387864	388532	Chromosome	0
lcl|NC_013967.1_cds_WP_004043997.1_1976	15	HVO_RS09240	9240	858873	859304	Chromosome	0
lcl|NC_013967.1_cds_WP_004043996.1_1977	15	HVO_RS09245	9245	859328	859729	Chromosome	1
lcl|NC_013967.1_cds_WP_004043898.1_2069	15	HVO_RS09710	9710	951364	951924	Chromosome	0
lcl|NC_013967.1_cds_WP_004043700.1_2259	15	HVO_RS10670	10670	1133594	1134265	Chromosome	0
lcl|NC_013967.1_cds_WP_004043598.1_2354	15	HVO_RS11155	11155	1219836	1220945	Chromosome	0
lcl|NC_013967.1_cds_WP_004043457.1_2489	15	HVO_RS11835	11835	1348391	1349344	Chromosome	0
lcl|NC_013967.1_cds_WP_004041566.1_2677	15	HVO_RS12755	12755	1534149	1535147	Chromosome	0
lcl|NC_013967.1_cds_WP_004041921.1_3015	15	HVO_RS14490	14490	1881529	1881720	Chromosome	0
lcl|NC_013967.1_cds_WP_013035228.1_3318	15	HVO_RS15980	15980	2209251	2209853	Chromosome	0
lcl|NC_013967.1_cds_WP_004042279.1_3364	15	HVO_RS16210	16210	2261527	2261898	Chromosome	0
lcl|NC_013967.1_cds_WP_004042655.1_3554	15	HVO_RS17185	17185	2437133	2437477	Chromosome	0
lcl|NC_013967.1_cds_WP_004058105.1_1468	15	HVO_RS20115	20115	361088	361420	Chromosome	0
