genes	cluster	locus_tag	rs	start	stop	chr	op1
lcl|NC_013964.1_cds_WP_004041099.1_142	13	HVO_RS00265	265	67069	67746	pHV3	0
lcl|NC_013964.1_cds_WP_004041092.1_149	13	HVO_RS00300	300	72431	72985	pHV3	0
lcl|NC_013964.1_cds_WP_004041067.1_174	13	HVO_RS00425	425	100122	100340	pHV3	0
lcl|NC_013964.1_cds_WP_004041061.1_180	13	HVO_RS00455	455	106769	106990	pHV3	0
lcl|NC_013964.1_cds_WP_004041212.1_410	13	HVO_RS01585	1585	384012	384230	pHV3	0
lcl|NC_013966.1_cds_WP_013035200.1_554	13	HVO_RS02280	2280	91575	91754	pHV4	0
lcl|NC_013967.1_cds_WP_004044350.1_1632	13	HVO_RS07505	7505	517744	518328	Chromosome	0
lcl|NC_013967.1_cds_WP_004044328.1_1653	13	HVO_RS07615	7615	536843	537532	Chromosome	0
lcl|NC_013967.1_cds_WP_013035267.1_2246	13	HVO_RS10605	10605	1118978	1121443	Chromosome	0
lcl|NC_013967.1_cds_WP_004041910.1_3005	13	HVO_RS14435	14435	1870247	1871404	Chromosome	0
lcl|NC_013967.1_cds_WP_004042010.1_3105	13	HVO_RS14920	14920	1990314	1992065	Chromosome	0
lcl|NC_013967.1_cds_WP_004042011.1_3106	13	HVO_RS14925	14925	1992248	1993510	Chromosome	1
lcl|NC_013967.1_cds_WP_004042958.1_3700	13	HVO_RS17915	17915	2580464	2580655	Chromosome	0
lcl|NC_013968.1_cds_WP_013035701.1_8	13	HVO_RS19320	19320	5743	6006	pHV1	0
lcl|NC_013968.1_cds_WP_013035734.1_40	13	HVO_RS19450	19450	38529	42353	pHV1	0
lcl|NC_013968.1_cds_WP_004045462.1_67	13	HVO_RS19575	19575	71227	72192	pHV1	0
lcl|NC_013967.1_cds_WP_004041723.1_2825	13	HVO_RS20200	20200	1698203	1698400	Chromosome	0
lcl|NC_013967.1_cds_WP_081442892.1_3412	13	HVO_RS20285	20285	2308465	2308644	Chromosome	0
