genes	cluster	locus_tag	rs	start	stop	chr	op1
lcl|NC_013964.1_cds_WP_004041074.1_167	12	HVO_RS00390	390	90597	91628	pHV3	0
lcl|NC_013964.1_cds_WP_004041335.1_286	12	HVO_RS00980	980	230208	230630	pHV3	0
lcl|NC_013964.1_cds_WP_004041311.1_311	12	HVO_RS01105	1105	264338	264748	pHV3	0
lcl|NC_013964.1_cds_WP_004041272.1_350	12	HVO_RS01295	1295	317826	319133	pHV3	0
lcl|NC_013964.1_cds_WP_004041162.1_453	12	HVO_RS01800	1800	429092	429286	pHV3	0
lcl|NC_013964.1_cds_WP_004041160.1_454	12	HVO_RS01805	1805	429920	430657	pHV3	1
lcl|NC_013966.1_cds_WP_013035119.1_468	12	HVO_RS01895	1895	6551	7903	pHV4	0
lcl|NC_013966.1_cds_WP_004043399.1_503	12	HVO_RS02050	2050	35783	36763	pHV4	0
lcl|NC_013966.1_cds_WP_004043397.1_506	12	HVO_RS02060	2060	37548	38588	pHV4	0
lcl|NC_013966.1_cds_WP_004043393.1_510	12	HVO_RS02080	2080	41599	42171	pHV4	0
lcl|NC_013966.1_cds_WP_004043348.1_558	12	HVO_RS02300	2300	96278	97018	pHV4	0
lcl|NC_013966.1_cds_WP_004062180.1_580	12	HVO_RS02405	2405	116872	117156	pHV4	0
lcl|NC_013966.1_cds_WP_013035153.1_581	12	HVO_RS02410	2410	117274	117957	pHV4	1
lcl|NC_013966.1_cds_WP_004043113.1_648	12	HVO_RS02705	2705	189115	189552	pHV4	0
lcl|NC_013966.1_cds_WP_004043127.1_661	12	HVO_RS02765	2765	210946	211968	pHV4	0
lcl|NC_013966.1_cds_WP_013035011.1_706	12	HVO_RS02975	2975	254889	256274	pHV4	0
lcl|NC_013966.1_cds_WP_013035061.1_707	12	HVO_RS02980	2980	256788	257111	pHV4	1
lcl|NC_013966.1_cds_WP_004043181.1_716	12	HVO_RS03020	3020	270416	271183	pHV4	0
lcl|NC_013966.1_cds_WP_004043186.1_721	12	HVO_RS03045	3045	277185	278621	pHV4	0
lcl|NC_013966.1_cds_WP_013035085.1_722	12	HVO_RS03050	3050	278689	279132	pHV4	1
lcl|NC_013966.1_cds_WP_049914848.1_801	12	HVO_RS03415	3415	361252	361443	pHV4	0
lcl|NC_013966.1_cds_WP_049914854.1_820	12	HVO_RS03495	3495	379569	379853	pHV4	0
