genes	cluster	locus_tag	rs	start	stop	chr	op1
lcl|NC_013964.1_cds_WP_004041134.1_106	3	HVO_RS00090	90	20051	20704	pHV3	0
lcl|NC_013964.1_cds_WP_004041082.1_159	3	HVO_RS00350	350	81961	82491	pHV3	0
lcl|NC_013964.1_cds_WP_004041038.1_203	3	HVO_RS00570	570	131561	133510	pHV3	0
lcl|NC_013964.1_cds_WP_004041025.1_216	3	HVO_RS00635	635	145516	146379	pHV3	0
lcl|NC_013964.1_cds_WP_004041011.1_230	3	HVO_RS00705	705	162589	163284	pHV3	0
lcl|NC_013964.1_cds_WP_004041383.1_240	3	HVO_RS00755	755	174818	175231	pHV3	0
lcl|NC_013964.1_cds_WP_004041380.1_243	3	HVO_RS00770	770	181542	182090	pHV3	0
lcl|NC_013964.1_cds_WP_004041353.1_268	3	HVO_RS00895	895	211615	212589	pHV3	0
lcl|NC_013964.1_cds_WP_004041342.1_279	3	HVO_RS00945	945	223140	223451	pHV3	0
lcl|NC_013964.1_cds_WP_004041341.1_280	3	HVO_RS00950	950	223453	223824	pHV3	1
lcl|NC_013964.1_cds_WP_004041265.1_357	3	HVO_RS01330	1330	325629	327335	pHV3	0
lcl|NC_013964.1_cds_WP_004041187.1_434	3	HVO_RS01710	1710	408141	410444	pHV3	0
lcl|NC_013964.1_cds_WP_004041182.1_437	3	HVO_RS01720	1720	411652	412176	pHV3	0
lcl|NC_013966.1_cds_WP_004043309.1_474	3	HVO_RS01920	1920	12870	13319	pHV4	0
lcl|NC_013966.1_cds_WP_004043418.1_484	3	HVO_RS01955	1955	22306	23010	pHV4	0
lcl|NC_013966.1_cds_WP_004043417.1_485	3	HVO_RS01960	1960	23099	23494	pHV4	1
lcl|NC_013966.1_cds_WP_004043415.1_487	3	HVO_RS01970	1970	24692	24859	pHV4	0
lcl|NC_013966.1_cds_WP_004043414.1_488	3	HVO_RS01975	1975	25023	25706	pHV4	1
lcl|NC_013966.1_cds_WP_004043402.1_500	3	HVO_RS02040	2040	34050	34475	pHV4	0
lcl|NC_013966.1_cds_WP_004043401.1_501	3	HVO_RS02045	2045	34478	34780	pHV4	1
lcl|NC_013966.1_cds_WP_004043378.1_521	3	HVO_RS02130	2130	48734	49555	pHV4	0
lcl|NC_013966.1_cds_WP_013035182.1_529	3	HVO_RS02165	2165	55398	56897	pHV4	0
lcl|NC_013966.1_cds_WP_013035157.1_574	3	HVO_RS02380	2380	110914	112080	pHV4	0
lcl|NC_013966.1_cds_WP_013035207.1_593	3	HVO_RS02455	2455	130759	131637	pHV4	0
lcl|NC_013966.1_cds_WP_004043070.1_601	3	HVO_RS02480	2480	136233	136844	pHV4	0
lcl|NC_013966.1_cds_WP_013035042.1_612	3	HVO_RS02535	2535	149297	150466	pHV4	0
lcl|NC_013966.1_cds_WP_004043162.1_698	3	HVO_RS02940	2940	247481	248008	pHV4	0
lcl|NC_013966.1_cds_WP_013035110.1_703	3	HVO_RS02965	2965	252951	253325	pHV4	0
lcl|NC_013966.1_cds_WP_013035158.1_713	3	HVO_RS03005	3005	264290	265456	pHV4	0
lcl|NC_013966.1_cds_WP_013035094.1_730	3	HVO_RS03085	3085	287605	287922	pHV4	0
