	X04_mean	p0_mean	theta	prob	log2FC	length
lcl|NC_013967.1_cds_WP_004044952.1_3964	713.844041723073	281.014439293057	2.79605682787171	1	1.34496465147562	641
lcl|NC_013967.1_cds_WP_004044951.1_3963	667.261050710401	454.759508910005	0.972326655922055	0.99286648333306	0.553147488878111	392
lcl|NC_013967.1_cds_WP_013035500.1_3962	30.7427632317113	38.7287901373751	-0.194710873147419	0.674017223048895	-0.333159589527274	992
lcl|NC_013967.1_cds_WP_004044943.1_3961	20.6476341518453	29.0955267081455	-0.265176378960818	0.812338205251639	-0.49482087886276	2576
lcl|NC_013967.1_cds_WP_004044927.1_3959	54.5663495227782	92.5890569703104	-0.543220750697722	0.962349188806205	-0.7628301615934	605
lcl|NC_013967.1_cds_WP_004044925.1_3958	784.93315565929	107.256559748278	4.98020225180817	1	2.87150391556186	914
lcl|NC_013967.1_cds_WP_004044915.1_3954	400.387290733953	286.643672675233	0.490418090968601	0.948685083362459	0.482137746675005	275
lcl|NC_013967.1_cds_WP_004044914.1_3953	4.94065908917085	2.23564737704568	0.407994707492758	0.927981307600165	1.14401085818056	980
lcl|NC_013967.1_cds_WP_004044911.1_3952	3.37521839646949	2.34845036973301	0.192135283386807	0.67759361040785	0.523271750875252	923
lcl|NC_013967.1_cds_WP_004044909.1_3951	0.670694010881918	1.0326916108926	-0.174146104924845	0.615163366390161	-0.622682867169227	2099
lcl|NC_013967.1_cds_WP_013035280.1_3947	5.35489110649721	11.8883023103268	-0.510377547512875	0.95401562868693	-1.15061356537396	1160
lcl|NC_013967.1_cds_WP_004044900.1_3946	47679.6676538389	35593.0905686789	1.17073549413354	0.99758045875961	0.421776971346456	389
lcl|NC_013967.1_cds_3945	3.86136092841574	4.00856523992762	-0.0175663151476404	0.00940984523966681	-0.0539765425701752	909
lcl|NC_013967.1_cds_WP_004044895.1_3943	177.00316856951	31.8371465806531	1.25889562576756	0.996551728302116	2.47499224195342	368
lcl|NC_013967.1_cds_WP_004044893.1_3942	75.4373473022683	69.5519172163925	0.0701989678398621	0.190278226737033	0.117188662042476	251
lcl|NC_013967.1_cds_WP_004044889.1_3940	5.58611467183132	6.91486551261788	-0.153408149089231	0.544097994357481	-0.307856003055269	1364
lcl|NC_013967.1_cds_WP_004044886.1_3938	48.3201360120041	61.5754335757083	-0.185549698884023	0.649959989002515	-0.349730365735357	188
lcl|NC_013967.1_cds_3937	244.820888504379	418.855445300016	-0.748544936642983	0.984689662392925	-0.774725772992092	318
lcl|NC_013967.1_cds_WP_004044873.1_3936	11.108507101483	14.6213807167863	-0.16196287328712	0.574905926078823	-0.396414610811192	593
lcl|NC_013967.1_cds_WP_004044866.1_3932	1047.91332919073	380.654734440059	1.9624014460651	0.999999996537547	1.46096447227355	203
lcl|NC_013967.1_cds_WP_004044864.1_3931	69.9649090237278	10.6484443083912	1.46592707155734	0.999200629702767	2.71598884383943	680
lcl|NC_013967.1_cds_WP_004044862.1_3930	17.0083713347475	0.726425686794722	1.05023614701202	0.992488267008258	4.54928597170865	233
lcl|NC_013967.1_cds_WP_004044860.1_3929	0.77895524618753	1.09649160270901	-0.181170994940392	0.636727638087955	-0.493282415721307	1325
lcl|NC_013967.1_cds_WP_004044859.1_3928	161.229917052793	237.697213841225	-0.588777789874489	0.968846664796354	-0.560005524583113	296
lcl|NC_013967.1_cds_WP_004044857.1_3927	17.2308062976695	8.26841988147289	0.549283375173043	0.961917194666122	1.05930665482806	965
lcl|NC_013967.1_cds_WP_004044855.1_3926	15.8130774698021	17.9507010494373	-0.0984364925378451	0.293789047960807	-0.182922022560753	1823
lcl|NC_013967.1_cds_WP_004044843.1_3923	0.34720181312381	18.0148735348016	-1.31622828028016	0.999186504419676	-5.69727023208792	209
lcl|NC_013967.1_cds_WP_004044837.1_3919	1.35626676020667	1.15397249689392	0.0670155255548127	0.176218554070104	0.233032125877673	1259
lcl|NC_013967.1_cds_WP_049914907.1_3918	7.61506062225832	28.549347070063	-0.677558854075485	0.977222343915728	-1.9065303242766	584
lcl|NC_013967.1_cds_WP_004044834.1_3916	30.7044794091641	42.5147593073551	-0.271018610193465	0.819732511955302	-0.469514627698343	665
lcl|NC_013967.1_cds_WP_004044830.1_3913	1064.43560544358	5497.98842466318	-3.08868663496805	1	-2.36881519491013	191
lcl|NC_013967.1_cds_WP_004044828.1_3912	24.0899131964561	171.073083095292	-2.06507935682197	1	-2.8281116815902	416
