genes	cluster	locus_tag	rs	start	stop	chr	op1
lcl|NC_013964.1_cds_WP_049914695.1_228	5	HVO_RS00695	695	159005	160810	pHV3	0
lcl|NC_013966.1_cds_WP_004040960.1_1048	5	HVO_RS04555	4555	606528	606842	pHV4	0
lcl|NC_013967.1_cds_WP_004044521.1_1465	5	HVO_RS06640	6640	357270	357947	Chromosome	0
lcl|NC_013967.1_cds_WP_004044449.1_1534	5	HVO_RS06985	6985	422618	422818	Chromosome	0
lcl|NC_013967.1_cds_WP_004044441.1_1542	5	HVO_RS07025	7025	428646	429851	Chromosome	0
lcl|NC_013967.1_cds_WP_004043822.1_2139	5	HVO_RS10060	10060	1019071	1019271	Chromosome	0
lcl|NC_013967.1_cds_WP_004043695.1_2264	5	HVO_RS10695	10695	1138037	1138414	Chromosome	0
lcl|NC_013967.1_cds_WP_004043467.1_2479	5	HVO_RS11785	11785	1338855	1339379	Chromosome	0
lcl|NC_013967.1_cds_WP_004043443.1_2503	5	HVO_RS11905	11905	1362157	1362600	Chromosome	0
lcl|NC_013967.1_cds_WP_004041412.1_2540	5	HVO_RS12065	12065	1401868	1402422	Chromosome	0
lcl|NC_013967.1_cds_WP_004041448.1_2574	5	HVO_RS12235	12235	1437398	1437616	Chromosome	0
lcl|NC_013967.1_cds_WP_004041553.1_2665	5	HVO_RS12690	12690	1525931	1526119	Chromosome	0
lcl|NC_013967.1_cds_WP_004041759.1_2861	5	HVO_RS13705	13705	1732943	1733122	Chromosome	0
lcl|NC_013967.1_cds_WP_004041808.1_2907	5	HVO_RS13945	13945	1777642	1778232	Chromosome	0
lcl|NC_013967.1_cds_WP_004041856.1_2954	5	HVO_RS14185	14185	1823943	1824173	Chromosome	0
lcl|NC_013967.1_cds_WP_004042014.1_3109	5	HVO_RS14940	14940	1996962	1997831	Chromosome	0
lcl|NC_013967.1_cds_WP_004042018.1_3114	5	HVO_RS14965	14965	2001515	2001814	Chromosome	0
lcl|NC_013967.1_cds_WP_004042039.1_3134	5	HVO_RS15065	15065	2019911	2020816	Chromosome	0
lcl|NC_013967.1_cds_WP_004042069.1_3156	5	HVO_RS15175	15175	2049729	2050007	Chromosome	0
lcl|NC_013967.1_cds_WP_004042253.1_3338	5	HVO_RS16080	16080	2229188	2230375	Chromosome	0
lcl|NC_013967.1_cds_WP_004042512.1_3493	5	HVO_RS16875	16875	2389504	2390523	Chromosome	0
lcl|NC_013967.1_cds_WP_004042728.1_3590	5	HVO_RS17365	17365	2473880	2474437	Chromosome	0
lcl|NC_013967.1_cds_WP_004043010.1_3728	5	HVO_RS18055	18055	2601441	2602187	Chromosome	0
lcl|NC_013967.1_cds_WP_004044720.1_3860	5	HVO_RS18740	18740	2740705	2741232	Chromosome	0
lcl|NC_013967.1_cds_WP_004044870.1_3934	5	HVO_RS19140	19140	2816245	2816748	Chromosome	0
lcl|NC_013967.1_cds_2430	5	HVO_RS20135	20135	1291354	1291661	Chromosome	0
lcl|NC_013967.1_cds_3937	5	HVO_RS20320	20320	2818169	2818487	Chromosome	0
