genes	cluster	locus_tag	rs	start	stop	chr	op1
lcl|NC_013964.1_cds_WP_004041111.1_130	20	HVO_RS00205	205	49584	50225	pHV3	0
lcl|NC_013966.1_cds_WP_013035208.1_547	20	HVO_RS02245	2245	82394	83161	pHV4	0
lcl|NC_013966.1_cds_WP_013035056.1_626	20	HVO_RS02605	2605	167050	168516	pHV4	0
lcl|NC_013967.1_cds_WP_004044307.1_1675	20	HVO_RS07725	7725	560896	562620	Chromosome	0
lcl|NC_013967.1_cds_WP_004044270.1_1709	20	HVO_RS07900	7900	593079	594002	Chromosome	0
lcl|NC_013967.1_cds_WP_004043868.1_2094	20	HVO_RS09835	9835	977936	978274	Chromosome	0
lcl|NC_013967.1_cds_WP_004041580.1_2691	20	HVO_RS12830	12830	1547818	1548111	Chromosome	0
lcl|NC_013967.1_cds_WP_004041729.1_2831	20	HVO_RS13550	13550	1704184	1704411	Chromosome	0
lcl|NC_013967.1_cds_WP_004041990.1_3085	20	HVO_RS14825	14825	1969381	1969806	Chromosome	0
lcl|NC_013967.1_cds_WP_013035563.1_3132	20	HVO_RS15055	15055	2017239	2018687	Chromosome	0
lcl|NC_013968.1_cds_WP_013035697.1_7	20	HVO_RS19315	19315	5497	5742	pHV1	0
lcl|NC_013967.1_cds_2897	20	HVO_RS20210	20210	1768353	1768587	Chromosome	0
