genes	cluster	locus_tag	rs	start	stop	chr	op1
lcl|NC_013966.1_cds_WP_049941496.1_903	19	HVO_RS03845	3845	458053	458292	pHV4	0
lcl|NC_013967.1_cds_WP_004045222.1_1194	19	HVO_RS05270	5270	112264	112734	Chromosome	0
lcl|NC_013967.1_cds_WP_004045268.1_1231	19	HVO_RS05460	5460	142995	143201	Chromosome	0
lcl|NC_013967.1_cds_WP_004044577.1_1412	19	HVO_RS06370	6370	312095	312322	Chromosome	0
lcl|NC_013967.1_cds_WP_004044502.1_1483	19	HVO_RS06725	6725	379829	380122	Chromosome	0
lcl|NC_013967.1_cds_WP_004044459.1_1524	19	HVO_RS06935	6935	412138	412344	Chromosome	0
lcl|NC_013967.1_cds_WP_004044289.1_1692	19	HVO_RS07815	7815	580081	580632	Chromosome	0
lcl|NC_013967.1_cds_WP_004044074.1_1895	19	HVO_RS08835	8835	778851	779303	Chromosome	0
lcl|NC_013967.1_cds_WP_004044030.1_1939	19	HVO_RS09055	9055	826378	826743	Chromosome	0
lcl|NC_013967.1_cds_WP_004043965.1_2005	19	HVO_RS09385	9385	889252	889668	Chromosome	0
lcl|NC_013967.1_cds_WP_004043848.1_2114	19	HVO_RS09935	9935	996959	997312	Chromosome	0
lcl|NC_013967.1_cds_WP_004043790.1_2171	19	HVO_RS10220	10220	1047847	1048314	Chromosome	0
lcl|NC_013967.1_cds_WP_004043767.1_2194	19	HVO_RS10345	10345	1070635	1071165	Chromosome	0
lcl|NC_013967.1_cds_WP_004043733.1_2227	19	HVO_RS10510	10510	1099534	1099872	Chromosome	0
lcl|NC_013967.1_cds_WP_004043547.1_2405	19	HVO_RS11410	11410	1265555	1265884	Chromosome	0
lcl|NC_013967.1_cds_WP_004043512.1_2436	19	HVO_RS11565	11565	1296636	1296893	Chromosome	0
lcl|NC_013967.1_cds_WP_004041438.1_2566	19	HVO_RS12195	12195	1429308	1429667	Chromosome	0
lcl|NC_013967.1_cds_WP_004041451.1_2577	19	HVO_RS12250	12250	1441393	1443312	Chromosome	0
lcl|NC_013967.1_cds_WP_013035508.1_2848	19	HVO_RS13640	13640	1720493	1720738	Chromosome	0
lcl|NC_013967.1_cds_WP_004041782.1_2882	19	HVO_RS13820	13820	1749192	1750427	Chromosome	0
lcl|NC_013967.1_cds_WP_004041883.1_2980	19	HVO_RS14315	14315	1848449	1848724	Chromosome	0
lcl|NC_013967.1_cds_WP_004041902.1_2997	19	HVO_RS14395	14395	1864256	1864615	Chromosome	0
lcl|NC_013967.1_cds_WP_004042136.1_3222	19	HVO_RS15505	15505	2104893	2105708	Chromosome	0
lcl|NC_013967.1_cds_WP_004042227.1_3312	19	HVO_RS15950	15950	2202120	2202623	Chromosome	0
lcl|NC_013967.1_cds_WP_004042667.1_3561	19	HVO_RS17220	17220	2442972	2443604	Chromosome	0
lcl|NC_013967.1_cds_WP_004042991.1_3714	19	HVO_RS17985	17985	2590818	2591108	Chromosome	0
